block_name,tehsil,rural_population_2011,latitude,longitude,source_url
Nawabganj,Nawabganj,250055,28.5400,79.6330,https://censusindia.gov.in/nada/index.php/catalog/1185
Baheri,Baheri,236649,28.7742,79.4974,https://censusindia.gov.in/nada/index.php/catalog/1185
Shergarh,Baheri,226130,28.6484,79.3626,https://censusindia.gov.in/nada/index.php/catalog/1185
Majhgawan,Aonla,224467,28.3395,79.2557,https://censusindia.gov.in/nada/index.php/catalog/1185
Alampur Jafarabad,Aonla,220066,28.2108,79.2922,https://censusindia.gov.in/nada/index.php/catalog/1185
Bhuta,Faridpur,208985,28.3249,79.6001,https://censusindia.gov.in/nada/index.php/catalog/1185
Bithri Chainpur,Bareilly (Sadar),192003,28.3397,79.5080,https://censusindia.gov.in/nada/index.php/catalog/1185
Bhojipura,Bareilly (Sadar),190876,28.5073,79.4374,https://censusindia.gov.in/nada/index.php/catalog/1185
Richha,Baheri,182167,28.6940,79.5210,https://censusindia.gov.in/nada/index.php/catalog/1185
Faridpur,Faridpur,175652,28.2861,79.5167,https://censusindia.gov.in/nada/index.php/catalog/1185
Meerganj,Meerganj,165295,28.5410,79.2080,https://censusindia.gov.in/nada/index.php/catalog/1185
Bhadpura,Nawabganj,162681,28.4749,79.7540,https://censusindia.gov.in/nada/index.php/catalog/1185
Ramnagar,Aonla,161170,28.3667,79.1167,https://censusindia.gov.in/nada/index.php/catalog/1185
Fatehganj Pashchimi,Meerganj,156361,28.4646,79.3042,https://censusindia.gov.in/nada/index.php/catalog/1185
Kyara,Bareilly (Sadar),127393,,,https://censusindia.gov.in/nada/index.php/catalog/1185
