indicator,value,unit,source,source_url
Institutional births,75.1,percent of births in 5 years before survey,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Institutional births in a public facility,40.3,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Births attended by skilled health personnel,77.8,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Births delivered by caesarean section,15.5,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Mothers who had antenatal check-up in first trimester,72.2,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Mothers who had at least 4 antenatal care visits,43.1,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Mothers whose last birth protected against neonatal tetanus,96.9,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Mothers receiving postnatal care within 2 days of delivery,75.2,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children 12-23 months fully vaccinated (card or mother recall),70.5,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children under 5 years stunted (height-for-age),45.9,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children under 5 years wasted (weight-for-height),15.4,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children under 5 years underweight (weight-for-age),35.2,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children 6-23 months receiving an adequate diet,10.5,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children under 6 months exclusively breastfed,58.1,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Children 6-59 months who are anaemic (below 11.0 g/dl),67.7,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
All women 15-49 years who are anaemic,60.8,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Pregnant women 15-49 years who are anaemic,50.9,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Women with 10 or more years of schooling,22.1,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Women 20-24 years married before age 18,11.4,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Any modern contraceptive method (current use),43.5,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Sex ratio at birth (last 5 years),1084,females per 1000 males,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Population in households with improved drinking-water source,100.0,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Population in households using improved sanitation facility,79.7,percent,Bareilly district (NFHS-5 2019-21 District Factsheet),https://raw.githubusercontent.com/jvargh7/nfhs5_factsheets/main/data%20for%20analysis/districts.csv
Total fertility rate,2.4,children per woman,UP state (NFHS-5) - not published at district level; IIPS FR374 Uttar Pradesh report,https://upnrhm.gov.in/NHM-Doc/NFHS/NFHS/NFHS-5(FY%202019-21)Report.pdf
