metric,value,as_on,source,source_url
Sub-Centres (SCs) functioning in rural Uttar Pradesh,20781,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 1,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Primary Health Centres (PHCs) functioning in rural Uttar Pradesh,2919,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 1,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Community Health Centres (CHCs) functioning in rural Uttar Pradesh,829,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 1,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Increase in number of CHCs in Uttar Pradesh since 2005 (386 to 829),443,2005 to 31.03.2022,Rural Health Statistics 2021-22 (MoHFW),http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Allopathic Doctors at PHCs in position (rural Uttar Pradesh),2890,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 6 / Table 16,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Allopathic Doctors at PHCs - shortfall vs requirement (UP; requirement 2919),29 (1.0%),31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 6,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Allopathic Doctors at PHCs - vacancy vs sanctioned (UP; 1558 of 4448 sanctioned),1558 (35.0%),31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 6,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Total Specialists at CHCs - requirement (rural Uttar Pradesh; 4 per CHC),3316,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 7 / Table 23,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Total Specialists at CHCs in position (rural Uttar Pradesh),918,31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 7 / Table 23,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Total Specialists at CHCs - shortfall vs requirement (rural Uttar Pradesh),2398 (72.3%),31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 7 / Table 23,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Total Specialists at CHCs - vacancy vs sanctioned (UP; 2028 of 2946 sanctioned),2028 (68.8%),31.03.2022,Rural Health Statistics 2021-22 (MoHFW) - Comparative Statement 7 / Table 23,http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
Surgeons at CHCs - shortfall (rural Uttar Pradesh),635,31.03.2022,RHS 2021-22 as reported by ETV Bharat,https://www.etvbharat.com/english/bharat/states-across-india-facing-shortfall-of-surgeons-at-community-health-centre-rural-health-statistics-2021-22/na20230113215327970970325
Obstetricians and Gynaecologists at CHCs - shortfall (rural Uttar Pradesh),625,31.03.2022,RHS 2021-22 as reported by ETV Bharat,https://www.etvbharat.com/english/bharat/states-across-india-facing-shortfall-of-surgeons-at-community-health-centre-rural-health-statistics-2021-22/na20230113215327970970325
Physicians at CHCs - shortfall (rural Uttar Pradesh),493,31.03.2022,RHS 2021-22 as reported by ETV Bharat,https://www.etvbharat.com/english/bharat/states-across-india-facing-shortfall-of-surgeons-at-community-health-centre-rural-health-statistics-2021-22/na20230113215327970970325
Paediatricians at CHCs - shortfall (rural Uttar Pradesh),645,31.03.2022,RHS 2021-22 as reported by ETV Bharat,https://www.etvbharat.com/english/bharat/states-across-india-facing-shortfall-of-surgeons-at-community-health-centre-rural-health-statistics-2021-22/na20230113215327970970325
INDIA (national context) - Allopathic doctors at PHCs shortfall,3.1%,31.03.2022,Rural Health Statistics 2021-22 (MoHFW),http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
INDIA (national context) - Specialists at CHCs overall shortfall,79.5%,31.03.2022,Rural Health Statistics 2021-22 (MoHFW),http://web.archive.org/web/20230419102751/https://hmis.mohfw.gov.in/downloadfile?filepath=publications/Rural-Health-Statistics/RHS%202021-22.pdf
